Wavelength [nm],Compound_1,Compound_2,Compound_3,Compound_4
460,0.444966502638288,0.387350912255818,0.320014484389675,0.301360670630988
461,0.51205015711152,0.443156469602218,0.358205746228967,0.355116451932607
462,0.583684116914685,0.507523692863129,0.416313043871858,0.394408655434423
463,0.647877512302129,0.568190316549545,0.463251519163526,0.434815824248431
464,0.730123910594652,0.616349687318677,0.519321949508323,0.488251569210439
465,0.780518171577637,0.702301592418284,0.569055459370155,0.543493970928312
466,0.847201636331298,0.739810457094965,0.603444568919668,0.596971010901883
467,0.932649552380388,0.806098897556573,0.661823448868973,0.6261046415593
468,0.989135590205727,0.84322093997808,0.719161263310362,0.669743145028081
469,1.05396632477619,0.896396105989298,0.750574283418769,0.722590436075322
470,1.09148040552558,0.910579588679002,0.783707324801123,0.761056739345887
471,1.13209225114128,0.967996905421958,0.826255219472451,0.776903700033036
472,1.13403391237327,0.984140287537876,0.814056647542746,0.781766187644533
473,1.17725440208692,1.02191992779318,0.835851127632368,0.82567310868847
474,1.20166597498073,1.02716781638837,0.872605266433559,0.82662289395441
475,1.18998636390585,1.03039133518148,0.872016838102998,0.830163941195904
476,1.18015948301417,1.03224808200632,0.860531169727626,0.811168235877106
477,1.16938400426869,1.02848301205596,0.856672437790678,0.814926081929303
478,1.14022944210589,0.975062858616466,0.817021421054418,0.806904525933267
479,1.1199383411395,0.971426729417832,0.814554548437836,0.798748761149653
480,1.10059583802692,0.977770614402682,0.808409998755248,0.789942599933928
481,1.07222683346179,0.932241634968732,0.792533749759536,0.742339775355137
482,1.05761249777672,0.916626909934885,0.773409829016306,0.740739593657086
483,1.05550779628861,0.897659725356199,0.742313654932048,0.723313098777668
484,1.00898203592814,0.843930114112565,0.731518258252141,0.68464032044929
485,0.975588427106184,0.853317000838115,0.712688551674192,0.687355467459531
486,0.960144068299046,0.838037521758752,0.702775797490127,0.675256029071688
487,0.926987608940535,0.808948488169686,0.674418078328863,0.645678477039974
488,0.906088812474062,0.802901166913803,0.683980038700479,0.65164560621077
489,0.906889191913203,0.789323705757204,0.660691855925586,0.625588453914767
490,0.912358451414004,0.799419766617239,0.644826922859309,0.640021060455897
491,0.902531570522322,0.777628779575785,0.677631802288081,0.616710026428807
492,0.929388747257959,0.803997163303462,0.661925292233878,0.635974149322762
493,0.924067706171815,0.805686287151054,0.652657546027543,0.64911628675256
494,0.932634730538922,0.785687576558571,0.655690215115819,0.650282870829204
495,0.914596549475307,0.790754948101347,0.671555148182096,0.635808969276511
496,0.944106835833284,0.806588872413126,0.677529958923176,0.652626362735382
497,0.92723958024545,0.817149119979369,0.663475574566317,0.649983481995375
498,0.930396632477619,0.799651859970343,0.686288488304987,0.667977783283779
499,0.946922985711745,0.824833988782155,0.696088083194713,0.668844978526594
500,0.928706942550543,0.831332602669073,0.706770320580281,0.670878757846052
501,0.965524396751052,0.833576171749081,0.705989521449344,0.684660967955071
502,0.965168672555878,0.832106247179421,0.706215840038022,0.698567063098778
503,0.966280310665797,0.826922828960093,0.731054305145353,0.692651552692435
504,0.959729056738009,0.855251112113984,0.719783639429225,0.706093078956062
505,0.952451532578408,0.858616465733995,0.7327743264193,0.705298149983482
506,0.967273374043991,0.84694732770292,0.743388668228265,0.714083663693426
507,0.947619612260627,0.854786925407775,0.753697479942515,0.740130492236538
508,0.983177209936563,0.876719747276127,0.773636147604984,0.747160967955071
509,0.963671666567854,0.888453355683064,0.786242092994308,0.795775520317146
510,0.966754609592696,0.895699825929985,0.833735048828235,0.803332507433102
511,0.972698168020395,0.889394623170653,0.854194249244662,0.832094482986455
512,0.975810754728167,0.915634066146606,0.886670966719852,0.852267096134787
513,1.00838916226952,0.959628650635033,0.914609996492062,0.913445655764784
514,1.01714887057568,0.958687383147444,0.972966244582499,0.951726131483317
515,1,1,1,1
516,1.03413470089524,0.99832377022758,1.04873770807165,1.03816691443674
517,1.05399596845912,1.04901037973051,1.10816896945831,1.09503014535844
518,1.06469733799727,1.09814970021275,1.17131185569927,1.16321853320119
519,1.09908401019743,1.10485461930243,1.20991049099818,1.18879046911133
520,1.09008715242782,1.16401263619367,1.28008056941757,1.24607697390155
521,1.10716191379617,1.18669331442202,1.32671351461452,1.29355591344566
522,1.14394972431375,1.19432660692412,1.34773851150264,1.33340559960357
523,1.18626608169799,1.220411320998,1.41552092881149,1.41816361083581
524,1.16095037647477,1.24373670298498,1.4277534485295,1.41118475388173
