Wavelength [nm],Compound_1,Compound_2,Compound_3,Compound_4
460,0.429882943832252,0.37919158741053,0.326013716760919,0.331485864484592
461,0.516103799865516,0.453831257966467,0.376236313319697,0.364835452372174
462,0.567756720780558,0.475218158643004,0.438334737095416,0.419415073918577
463,0.643918705657944,0.567923325816256,0.477872698832872,0.474518012821275
464,0.680792084642725,0.629130306892833,0.548694501263386,0.503669168282211
465,0.772625598660647,0.684895577997843,0.579075923474913,0.575494475433818
466,0.834378559372041,0.751164329836259,0.640969799061485,0.608546723914414
467,0.900948251018924,0.795506912442396,0.687149560823006,0.665612102903222
468,0.961713164358936,0.867082557113443,0.734749127662135,0.715565123276918
469,1.00978441355272,0.903814099421512,0.751052821561786,0.749283412029163
470,1.03968656941719,0.957152662025689,0.799157742750571,0.779897477372471
471,1.10043775987704,0.977779684282773,0.847082180243051,0.808917803494333
472,1.10025936243499,1.00051475634866,0.839862832390807,0.841161288787926
473,1.12328635534026,1.06305765271105,0.872915413307665,0.865412290821727
474,1.15497248562528,1.03991812922836,0.875490314041632,0.873916197861535
475,1.1288715675646,1.02410775566232,0.885368788352786,0.846406355927164
476,1.12736205074721,1.02570104912246,0.877379376729635,0.857277084646582
477,1.12191406732445,1.02532110991274,0.88699314161954,0.865757204533831
478,1.08228238942789,0.992352191391313,0.846312116472145,0.842540943636342
479,1.10200216821507,0.964089616629081,0.834400192515943,0.804493393118377
480,1.06876535247218,0.960008334150407,0.808314282276501,0.818099644382069
481,1.04875739320169,0.953819001862928,0.801251353627722,0.801995742099692
482,1.01023726859793,0.897747328169428,0.787823366622548,0.748843349706823
483,0.974200985302795,0.904684282772821,0.774455540849477,0.737508771512506
484,0.974928297951174,0.877451220707912,0.751654433882806,0.735867457985942
485,0.958845082405895,0.855843710167664,0.732294549392372,0.710248694680003
486,0.917827393613372,0.841516325129915,0.716748887017206,0.704777649591456
487,0.905463078590935,0.802443867045789,0.701720611238118,0.690981101107292
488,0.888432984314748,0.816832532601235,0.69556010107087,0.684415847001035
489,0.88784290046795,0.81137856652613,0.692973168090483,0.678802078997134
490,0.884988541395068,0.809307285027944,0.668162675971604,0.668930410685189
491,0.891767644193163,0.804797038925385,0.681807243412345,0.66349504632548
492,0.882847772090406,0.793276301598196,0.687654915172663,0.675448090486328
493,0.890518862098777,0.791572703206197,0.691842136926964,0.66781241451492
494,0.891726475552689,0.805900088243945,0.671483575983636,0.681073752066509
495,0.896447146327071,0.802885086773213,0.695812778245698,0.664827126868778
496,0.911432531459703,0.813940092165899,0.687630850679822,0.688007707037429
497,0.906972595408324,0.826110402980684,0.697244615569727,0.703505036929554
498,0.934143898121338,0.830914795568193,0.708061605101673,0.7038261634891
499,0.941238627163069,0.828218452789489,0.714522921429431,0.718526623770502
500,0.916084587833294,0.826894793607216,0.715196727228974,0.697712865281461
501,0.908742846948718,0.837557603686636,0.72780652147756,0.721274039891055
502,0.929780022231066,0.854238160603981,0.726001684514499,0.735712841494309
503,0.939386038341727,0.859826943818021,0.732318613885212,0.720917232602671
504,0.95666314446076,0.826147171291303,0.734496450487306,0.729028651625257
505,0.94137585596465,0.84527894891656,0.749428468295031,0.74067246280284
506,0.916057142072978,0.857829198941073,0.780134761159909,0.772904054520154
507,0.925251471778897,0.8542749289146,0.770689447719889,0.768027688245579
508,0.946439598742984,0.881655064221983,0.782192275297798,0.784226739138192
509,0.946727779226304,0.886974213158153,0.803008061605102,0.802923441049489
510,0.934239958282444,0.85958182174723,0.839092768619901,0.834833906207258
511,0.925882724266169,0.881373173840573,0.840332090001203,0.862224812378834
512,0.965336004720671,0.896178546916364,0.878534472385994,0.889508676363896
513,0.971044722866435,0.950693695460339,0.919853206593671,0.933990651649044
514,0.956127952134594,0.95430924600451,0.96567200096258,0.984086394938094
515,1,1,1,1
516,1.02434438940045,1.01179037160506,1.04597521357237,1.06993422852317
517,1.02102345240219,1.06392783606236,1.09061484779208,1.12380023549281
518,1.05405442494271,1.08031424649475,1.17148357598364,1.18827531250372
519,1.07487203414253,1.1400259829395,1.19628203585609,1.22755979495474
520,1.0904337802418,1.11832042357094,1.24830946937793,1.28695631489433
521,1.09531912557808,1.18525100500049,1.32049091565395,1.33888366893041
522,1.12099463435386,1.19590155897637,1.32463000842257,1.39899380344676
523,1.15294149936189,1.22894401411903,1.39916977499699,1.40419129628088
524,1.13584279068491,1.21643053240514,1.39392371555769,1.42653932610997
525,1.12045944202769,1.22462986567311,1.40685838045963,1.45044541443167
526,1.12531734160366,1.24732816942838,1.40416315726146,1.46520534259446
527,1.1073266457164,1.24247475242671,1.42194681747082,1.49307199181722
528,1.10688751355134,1.24873762133543,1.39275658765492,1.45852115272541
529,1.08521908578172,1.20280174526914,1.36806641800024,1.4294175715696
530,1.08261173855169,1.18374350426512,1.35372398026712,1.41564481023799
531,1.02641654430432,1.17636532993431,1.32710865118518,1.37876283019541
532,1.00171536001976,1.12069810765761,1.27257851040789,1.32947585009336
533,0.969425423007781,1.08347632120796,1.22692816748887,1.29986084515753
534,0.943283336306624,1.0364006275125,1.20062567681386,1.23646808358805
535,0.928325396934309,0.984655358368468,1.11549753338948,1.18235231151655
536,0.864500281319043,0.965155897637023,1.11075682829984,1.15756609855017
537,0.819585294561623,0.918680753015002,1.06855974010348,1.11872167842148
538,0.797258168544414,0.868124325914305,1.0024786427626,1.07157554204974
539,0.765832772982393,0.845989802921855,0.960594392973168,1.00462660117271
540,0.745852259472218,0.810778017452692,0.938057995427746,0.974916447626637
541,0.712821286931701,0.794771546230023,0.883515822404043,0.933943077343927
542,0.713205527576128,0.741714874007256,0.841836120803754,0.91197564195578
543,0.678294520453953,0.716258946955584,0.831175550475274,0.881099917934324
544,0.652138710872638,0.710376017256594,0.811057634460354,0.844860191010835
545,0.616980691907618,0.662736542798314,0.784562627842618,0.812866470819111
546,0.597027624157758,0.662319835277968,0.728829262423294,0.759868694917875
547,0.571873584827984,0.611322188449848,0.700745999278065,0.745893742789519
548,0.542328223847621,0.60032846357486,0.67662134520515,0.707739150085039
549,0.567427371656763,0.566562898323365,0.675899410419926,0.690445890174717
550,0.53781339627561,0.551353073830768,0.635543255925881,0.683547615932635
